N,f,omega,Re{D[N]},Im{D[N]},theta=0.31
0,0.50,3.14,3.35,0.00
1,1.00,6.28,3.68,0.77
2,1.50,9.42,5.29,2.27
3,2.00,12.57,25.32,17.05
4,2.50,15.71,-5.06,-4.86
5,3.00,18.85,-1.78,-2.36
6,3.50,21.99,-0.88,-1.61
7,4.00,25.13,-0.48,-1.23
8,4.50,28.27,-0.26,-1.00
9,5.00,31.42,-0.12,-0.84
10,5.50,34.56,-0.03,-0.73
11,6.00,37.70,0.04,-0.64
12,6.50,40.84,0.09,-0.56
13,7.00,43.98,0.12,-0.50
14,7.50,47.12,0.15,-0.45
15,8.00,50.27,0.17,-0.40
16,8.50,53.41,0.19,-0.36
17,9.00,56.55,0.21,-0.33
18,9.50,59.69,0.22,-0.30
19,10.00,62.83,0.23,-0.27
20,10.50,65.97,0.24,-0.24
21,11.00,69.12,0.24,-0.21
22,11.50,72.26,0.25,-0.19
23,12.00,75.40,0.25,-0.17
24,12.50,78.54,0.26,-0.15
25,13.00,81.68,0.26,-0.13
26,13.50,84.82,0.26,-0.11
27,14.00,87.96,0.27,-0.09
28,14.50,91.11,0.27,-0.07
29,15.00,94.25,0.27,-0.05
30,15.50,97.39,0.27,-0.03
31,16.00,100.53,0.27,-0.02
32,16.50,103.67,0.27,0.00
33,17.00,106.81,0.27,0.02
34,17.50,109.96,0.27,0.03
35,18.00,113.10,0.27,0.05
36,18.50,116.24,0.27,0.07
37,19.00,119.38,0.27,0.09
38,19.50,122.52,0.26,0.11
39,20.00,125.66,0.26,0.13
40,20.50,128.81,0.26,0.15
41,21.00,131.95,0.25,0.17
42,21.50,135.09,0.25,0.19
43,22.00,138.23,0.24,0.21
44,22.50,141.37,0.24,0.24
45,23.00,144.51,0.23,0.27
46,23.50,147.65,0.22,0.30
47,24.00,150.80,0.21,0.33
48,24.50,153.94,0.19,0.36
49,25.00,157.08,0.17,0.40
50,25.50,160.22,0.15,0.45
51,26.00,163.36,0.12,0.50
52,26.50,166.50,0.09,0.56
53,27.00,169.65,0.04,0.64
54,27.50,172.79,-0.03,0.73
55,28.00,175.93,-0.12,0.84
56,28.50,179.07,-0.26,1.00
57,29.00,182.21,-0.48,1.23
58,29.50,185.35,-0.88,1.61
59,30.00,188.50,-1.78,2.36
60,30.50,191.64,-5.06,4.86
61,31.00,194.78,25.32,-17.05
62,31.50,197.92,5.29,-2.27
63,32.00,201.06,3.68,-0.77
N,f,omega,Re{D[N]},Im{D[N]},theta=0.63
0,0.25,1.57,1.81,0.00
1,0.50,3.14,1.83,0.48
2,0.75,4.71,1.91,1.03
3,1.00,6.28,2.07,1.78
4,1.25,7.85,2.41,3.01
5,1.50,9.42,3.27,5.85
6,1.75,11.00,8.60,22.38
7,2.00,12.57,-3.89,-15.94
8,2.25,14.14,-0.79,-6.28
9,2.50,15.71,-0.08,-4.00
10,2.75,17.28,0.22,-2.97
11,3.00,18.85,0.39,-2.36
12,3.25,20.42,0.50,-1.96
13,3.50,21.99,0.57,-1.67
14,3.75,23.56,0.62,-1.45
15,4.00,25.13,0.66,-1.27
16,4.25,26.70,0.69,-1.12
17,4.50,28.27,0.71,-0.99
18,4.75,29.85,0.73,-0.88
19,5.00,31.42,0.75,-0.79
20,5.25,32.99,0.76,-0.70
21,5.50,34.56,0.77,-0.62
22,5.75,36.13,0.78,-0.55
23,6.00,37.70,0.78,-0.48
24,6.25,39.27,0.79,-0.42
25,6.50,40.84,0.80,-0.36
26,6.75,42.41,0.80,-0.31
27,7.00,43.98,0.80,-0.25
28,7.25,45.55,0.80,-0.20
29,7.50,47.12,0.81,-0.15
30,7.75,48.69,0.81,-0.10
31,8.00,50.27,0.81,-0.05
32,8.25,51.84,0.81,0.00
33,8.50,53.41,0.81,0.05
34,8.75,54.98,0.81,0.10
35,9.00,56.55,0.81,0.15
36,9.25,58.12,0.80,0.20
37,9.50,59.69,0.80,0.25
38,9.75,61.26,0.80,0.31
39,10.00,62.83,0.80,0.36
40,10.25,64.40,0.79,0.42
41,10.50,65.97,0.78,0.48
42,10.75,67.54,0.78,0.55
43,11.00,69.12,0.77,0.62
44,11.25,70.69,0.76,0.70
45,11.50,72.26,0.75,0.79
46,11.75,73.83,0.73,0.88
47,12.00,75.40,0.71,0.99
48,12.25,76.97,0.69,1.12
49,12.50,78.54,0.66,1.27
50,12.75,80.11,0.62,1.45
51,13.00,81.68,0.57,1.67
52,13.25,83.25,0.50,1.96
53,13.50,84.82,0.39,2.36
54,13.75,86.39,0.22,2.97
55,14.00,87.96,-0.08,4.00
56,14.25,89.54,-0.79,6.28
57,14.50,91.11,-3.89,15.94
58,14.75,92.68,8.60,-22.38
59,15.00,94.25,3.27,-5.85
60,15.25,95.82,2.41,-3.01
61,15.50,97.39,2.07,-1.78
62,15.75,98.96,1.91,-1.03
63,16.00,100.53,1.83,-0.48
N,f,omega,Re{D[N]},Im{D[N]},theta=3.14
0,0.05,0.31,0.00,0.00
1,0.10,0.63,0.00,0.00
2,0.15,0.94,0.00,0.00
3,0.20,1.26,0.00,0.00
4,0.25,1.57,0.00,0.00
5,0.30,1.88,0.00,0.00
6,0.35,2.20,0.00,0.00
7,0.40,2.51,0.00,0.00
8,0.45,2.83,0.00,0.00
9,0.50,3.14,0.00,0.00
10,0.55,3.46,0.00,0.00
11,0.60,3.77,0.00,0.00
12,0.65,4.08,0.00,0.00
13,0.70,4.40,0.00,0.00
14,0.75,4.71,0.00,0.00
15,0.80,5.03,0.00,0.00
16,0.85,5.34,0.00,0.00
17,0.90,5.65,0.00,0.00
18,0.95,5.97,0.00,0.00
19,1.00,6.28,0.00,0.00
20,1.05,6.60,0.00,0.00
21,1.10,6.91,0.00,0.00
22,1.15,7.23,0.00,0.00
23,1.20,7.54,0.00,0.00
24,1.25,7.85,0.00,0.00
25,1.30,8.17,0.00,0.00
26,1.35,8.48,0.00,0.00
27,1.40,8.80,0.00,0.00
28,1.45,9.11,0.00,0.00
29,1.50,9.42,0.00,0.00
30,1.55,9.74,0.00,0.00
31,1.60,10.05,0.00,0.00
32,1.65,10.37,64.00,0.00
33,1.70,10.68,0.00,0.00
34,1.75,11.00,0.00,0.00
35,1.80,11.31,0.00,0.00
36,1.85,11.62,0.00,0.00
37,1.90,11.94,0.00,0.00
38,1.95,12.25,0.00,0.00
39,2.00,12.57,0.00,0.00
40,2.05,12.88,0.00,0.00
41,2.10,13.19,0.00,0.00
42,2.15,13.51,0.00,0.00
43,2.20,13.82,0.00,0.00
44,2.25,14.14,0.00,0.00
45,2.30,14.45,0.00,0.00
46,2.35,14.77,0.00,0.00
47,2.40,15.08,0.00,0.00
48,2.45,15.39,0.00,0.00
49,2.50,15.71,0.00,0.00
50,2.55,16.02,0.00,0.00
51,2.60,16.34,0.00,0.00
52,2.65,16.65,0.00,0.00
53,2.70,16.96,0.00,0.00
54,2.75,17.28,0.00,0.00
55,2.80,17.59,0.00,0.00
56,2.85,17.91,0.00,0.00
57,2.90,18.22,0.00,0.00
58,2.95,18.54,0.00,0.00
59,3.00,18.85,0.00,0.00
60,3.05,19.16,0.00,0.00
61,3.10,19.48,0.00,0.00
62,3.15,19.79,0.00,0.00
63,3.20,20.11,0.00,0.00
N,omega,Re{D[N]},Im{D[N]},samples=16
0,0.50,3.14,-2.66,0.00
1,1.00,6.28,5.75,-4.86
2,1.50,9.42,0.95,-1.00
3,2.00,12.57,0.60,-0.56
4,2.50,15.71,0.50,-0.36
5,3.00,18.85,0.46,-0.24
6,3.50,21.99,0.43,-0.15
7,4.00,25.13,0.42,-0.07
8,4.50,28.27,0.42,0.00
9,5.00,31.42,0.42,0.07
10,5.50,34.56,0.43,0.15
11,6.00,37.70,0.46,0.24
12,6.50,40.84,0.50,0.36
13,7.00,43.98,0.60,0.56
14,7.50,47.12,0.95,1.00
15,8.00,50.27,5.75,4.86
N,omega,Re{D[N]},Im{D[N]},samples=32
0,0.25,1.57,-0.95,0.00
1,0.50,3.14,-2.15,5.94
2,0.75,4.71,4.25,-12.74
3,1.00,6.28,1.66,-4.20
4,1.25,7.85,1.28,-2.62
5,1.50,9.42,1.13,-1.90
6,1.75,11.00,1.06,-1.47
7,2.00,12.57,1.02,-1.17
8,2.25,14.14,1.00,-0.95
9,2.50,15.71,0.98,-0.77
10,2.75,17.28,0.97,-0.63
11,3.00,18.85,0.96,-0.50
12,3.25,20.42,0.96,-0.39
13,3.50,21.99,0.96,-0.28
14,3.75,23.56,0.95,-0.18
15,4.00,25.13,0.95,-0.09
16,4.25,26.70,0.95,0.00
17,4.50,28.27,0.95,0.09
18,4.75,29.85,0.95,0.18
19,5.00,31.42,0.96,0.28
20,5.25,32.99,0.96,0.39
